Date,Bull,Neutral,Bear
12-20-18,0.248649,0.278378,0.472973
12-13-18,0.20904,0.30226,0.488701
12-6-18,0.379433,0.315603,0.304965
11-29-18,0.338816,0.266447,0.394737
11-22-18,0.252525,0.276094,0.47138
11-15-18,0.350877,0.289474,0.359649
11-8-18,0.412844,0.275229,0.311927
11-1-18,0.37931,0.275862,0.344828
10-25-18,0.279693,0.310345,0.409962
10-18-18,0.33935,0.310469,0.350181
10-11-18,0.306061,0.339394,0.354545
10-4-18,0.456621,0.292237,0.251142
9-27-18,0.362205,0.326772,0.311024
9-20-18,0.320423,0.359155,0.320423
9-13-18,0.320896,0.350746,0.328358
9-6-18,0.422222,0.314815,0.262963
8-30-18,0.434959,0.321138,0.243902
8-23-18,0.384615,0.344729,0.270655
8-16-18,0.361702,0.347518,0.29078
8-9-18,0.363636,0.326019,0.310345
8-2-18,0.291105,0.38814,0.320755
7-26-18,0.315217,0.415761,0.269022
7-19-18,0.346633,0.40399,0.249377
7-12-18,0.430508,0.277966,0.291525
7-5-18,0.278552,0.328691,0.392758
6-28-18,0.284483,0.307471,0.408046
6-21-18,0.387187,0.350975,0.261838
6-14-18,0.447802,0.335165,0.217033
6-7-18,0.389313,0.343511,0.267176
5-31-18,0.350181,0.386282,0.263538
5-24-18,0.385621,0.362745,0.251634
5-17-18,0.366755,0.427441,0.205805
5-10-18,0.335106,0.409574,0.255319
5-3-18,0.283951,0.41358,0.302469
4-26-18,0.369085,0.375394,0.255521
4-19-18,0.377834,0.329975,0.292191
4-12-18,0.26087,0.311594,0.427536
4-5-18,0.318966,0.314655,0.366379
3-29-18,0.319361,0.327345,0.353293
3-22-18,0.332344,0.382789,0.284866
3-15-18,0.368421,0.418283,0.213296
3-8-18,0.264026,0.452145,0.283828
3-1-18,0.372832,0.393064,0.234104
2-22-18,0.446512,0.325581,0.227907
2-15-18,0.485194,0.300683,0.214123
2-8-18,0.370277,0.279597,0.350126
2-1-18,0.447712,0.264706,0.287582
1-25-18,0.454545,0.305195,0.24026
1-18-18,0.541133,0.244973,0.213894
1-11-18,0.486726,0.262537,0.250737
1-4-18,0.597531,0.246914,0.155556
12-28-17,0.526455,0.267196,0.206349
12-21-17,0.504975,0.238806,0.256219
12-14-17,0.45,0.26875,0.28125
12-7-17,0.368771,0.289037,0.342193
11-30-17,0.359459,0.324324,0.316216
11-23-17,0.35493,0.35493,0.290141
11-16-17,0.293478,0.354348,0.352174
11-9-17,0.451049,0.318182,0.230769
11-2-17,0.450549,0.263736,0.285714
10-26-17,0.396396,0.273273,0.33033
10-19-17,0.37931,0.341379,0.27931
10-12-17,0.397661,0.333333,0.269006
10-5-17,0.356,0.316,0.328
9-28-17,0.333333,0.37931,0.287356
9-21-17,0.401361,0.326531,0.272109
9-14-17,0.412879,0.367424,0.219697
9-7-17,0.292776,0.34981,0.357414
8-31-17,0.25,0.351064,0.398936
8-24-17,0.280992,0.336088,0.38292
8-17-17,0.341743,0.330275,0.327982
8-10-17,0.336667,0.34,0.323333
8-3-17,0.361111,0.317901,0.320988
7-27-17,0.344595,0.412162,0.243243
7-20-17,0.354839,0.387097,0.258065
7-13-17,0.282407,0.421296,0.296296
7-6-17,0.295775,0.405634,0.298592
6-29-17,0.297143,0.434286,0.268571
6-22-17,0.326531,0.384354,0.289116
6-15-17,0.322709,0.38247,0.294821
6-8-17,0.354331,0.350394,0.295276
6-1-17,0.269231,0.415385,0.315385
5-25-17,0.328571,0.371429,0.3
5-18-17,0.238532,0.41896,0.342508
5-11-17,0.327338,0.370504,0.302158
5-4-17,0.380711,0.319797,0.299492
4-27-17,0.380488,0.302439,0.317073
4-20-17,0.257062,0.355932,0.387006
4-13-17,0.28972,0.336449,0.373832
4-6-17,0.283019,0.320755,0.396226
3-30-17,0.302181,0.323988,0.373832
3-23-17,0.352785,0.342175,0.30504
3-16-17,0.311688,0.301299,0.387013
3-9-17,0.3,0.235,0.465
3-2-17,0.379085,0.264706,0.356209
2-23-17,0.384615,0.292308,0.323077
2-16-17,0.330909,0.345455,0.323636
2-9-17,0.358025,0.365432,0.276543
2-2-17,0.327982,0.330275,0.341743
1-26-17,0.315789,0.349282,0.334928
1-19-17,0.370079,0.30315,0.326772
1-12-17,0.436364,0.293939,0.269697
1-5-17,0.462006,0.285714,0.25228
12-29-16,0.455696,0.28692,0.257384
12-22-16,0.446064,0.262391,0.291545
12-15-16,0.446575,0.230137,0.323288
12-8-16,0.431211,0.303901,0.264887
12-1-16,0.437751,0.311245,0.251004
11-24-16,0.498938,0.280255,0.220807
11-17-16,0.466531,0.267748,0.26572
11-10-16,0.388889,0.317778,0.293333
11-3-16,0.236364,0.420455,0.343182
10-27-16,0.247549,0.411765,0.340686
10-20-16,0.237395,0.384454,0.378151
10-13-16,0.254717,0.408019,0.337264
10-6-16,0.287946,0.433036,0.279018
9-29-16,0.24,0.388889,0.371111
9-22-16,0.24826,0.36891,0.382831
9-15-16,0.279379,0.361419,0.359202
9-8-16,0.297468,0.417722,0.28481
9-1-16,0.286,0.3987,0.3152
8-25-16,0.294243,0.409382,0.296375
8-18-16,0.355649,0.380753,0.263598
8-11-16,0.312925,0.419501,0.267574
8-4-16,0.297872,0.434397,0.26773
7-28-16,0.3125,0.403409,0.284091
7-21-16,0.354251,0.378543,0.267206
7-14-16,0.368664,0.387097,0.24424
7-7-16,0.310573,0.422907,0.26652
6-30-16,0.289125,0.376658,0.334218
6-23-16,0.219697,0.42803,0.352273
6-16-16,0.253472,0.371528,0.375
6-9-16,0.278317,0.443366,0.278317
6-2-16,0.301676,0.407821,0.290503
5-26-16,0.177515,0.5286,0.293886
5-19-16,0.193384,0.465649,0.340967
5-12-16,0.204082,0.482993,0.312925
5-5-16,0.223301,0.473301,0.303398
4-28-16,0.273663,0.440329,0.286008
4-21-16,0.334052,0.426724,0.239224
4-14-16,0.278481,0.472574,0.248945
4-7-16,0.321918,0.46347,0.214612
3-31-16,0.271805,0.470588,0.257606
3-24-16,0.337808,0.425056,0.237136
3-17-16,0.299587,0.431818,0.268595
3-10-16,0.373576,0.382688,0.243736
3-3-16,0.320158,0.387352,0.29249
2-25-16,0.311947,0.373894,0.314159
2-18-16,0.275605,0.346369,0.378026
2-11-16,0.192385,0.320641,0.486974
2-4-16,0.275472,0.377358,0.34717
1-28-16,0.297535,0.302817,0.399648
1-21-16,0.21521,0.297735,0.487055
1-14-16,0.178988,0.365759,0.455253
1-7-16,0.221739,0.395652,0.382609
12-31-15,0.250729,0.51312,0.236152
12-24-15,0.263804,0.421268,0.314928
12-17-15,0.238663,0.367542,0.393795
12-10-15,0.285057,0.416092,0.298851
12-3-15,0.294931,0.493088,0.211982
11-26-15,0.323601,0.416058,0.260341
11-19-15,0.307692,0.386813,0.305495
11-12-15,0.342723,0.42723,0.230047
11-5-15,0.39,0.424,0.186
10-29-15,0.403922,0.390196,0.205882
10-22-15,0.347656,0.412109,0.240234
10-15-15,0.340816,0.387755,0.271429
10-8-15,0.375238,0.342857,0.281905
10-1-15,0.281059,0.319756,0.399185
9-24-15,0.321199,0.391863,0.286938
9-17-15,0.332645,0.376033,0.291322
9-10-15,0.346499,0.303411,0.35009
9-3-15,0.323843,0.359431,0.316726
8-27-15,0.325,0.292308,0.382692
8-20-15,0.268199,0.398467,0.333333
8-13-15,0.304519,0.333988,0.361493
8-6-15,0.243187,0.440252,0.316562
7-30-15,0.211055,0.38191,0.407035
7-23-15,0.3254,0.4187,0.256
7-16-15,0.308108,0.459459,0.232432
7-9-15,0.27907,0.429175,0.291755
7-2-15,0.226121,0.423002,0.350877
6-25-15,0.355556,0.427778,0.216667
6-18-15,0.254083,0.402904,0.343013
6-11-15,0.200375,0.473783,0.325843
6-4-15,0.273399,0.480296,0.246305
5-28-15,0.270019,0.478585,0.251397
5-21-15,0.252119,0.497881,0.25
5-14-15,0.267442,0.468992,0.263566
5-7-15,0.270563,0.461039,0.268398
4-30-15,0.308362,0.472125,0.219512
4-23-15,0.3147,0.453416,0.231884
4-16-15,0.320675,0.451477,0.227848
4-9-15,0.287016,0.471526,0.241458
4-2-15,0.353952,0.32646,0.319588
3-26-15,0.384298,0.371901,0.243802
3-19-15,0.271605,0.41358,0.314815
3-12-15,0.315961,0.429967,0.254072
3-5-15,0.398026,0.368421,0.233553
2-26-15,0.453731,0.343284,0.202985
2-19-15,0.470199,0.350993,0.178808
2-12-15,0.4,0.396721,0.203279
2-5-15,0.354949,0.320819,0.324232
1-29-15,0.441718,0.334356,0.223926
1-22-15,0.371429,0.320635,0.307937
1-15-15,0.461059,0.323988,0.214953
1-8-15,0.410072,0.31295,0.276978
1-1-15,0.517375,0.289575,0.19305
12-25-14,0.509434,0.301887,0.188679
12-18-14,0.387352,0.343874,0.268775
12-11-14,0.450172,0.32646,0.223368
12-4-14,0.426778,0.313808,0.259414
11-27-14,0.521452,0.270627,0.207921
11-20-14,0.491176,0.270588,0.238235
11-13-14,0.57931,0.227586,0.193103
11-6-14,0.526882,0.322581,0.150538
